Time Bucket (America/New_York),SmartPlug 1_1 (kWhs)
10/06/2021 00:00:00,0.0095
10/07/2021 00:00:00,0.0453
10/08/2021 00:00:00,0.9309
10/09/2021 00:00:00,1.3956
10/10/2021 00:00:00,2.4416
10/11/2021 00:00:00,1.8784
10/12/2021 00:00:00,4.0511
10/13/2021 00:00:00,6.1815
10/14/2021 00:00:00,7.1480
10/15/2021 00:00:00,3.6422
10/16/2021 00:00:00,3.3865
10/17/2021 00:00:00,0.1129
10/18/2021 00:00:00,2.2619
10/19/2021 00:00:00,0.7433
10/20/2021 00:00:00,0.0000
10/21/2021 00:00:00,0.0000
10/22/2021 00:00:00,0.0834
10/23/2021 00:00:00,0.7961
10/24/2021 00:00:00,0.2371
