Time Bucket (America/New_York),SmartPlug 1_1 (kWhs)
10/06/2021 19:00:00,0.0019
10/06/2021 20:00:00,0.0019
10/06/2021 21:00:00,0.0019
10/06/2021 22:00:00,0.0019
10/06/2021 23:00:00,0.0019
10/07/2021 00:00:00,0.0019
10/07/2021 01:00:00,0.0019
10/07/2021 02:00:00,0.0019
10/07/2021 03:00:00,0.0019
10/07/2021 04:00:00,0.0019
10/07/2021 05:00:00,0.0019
10/07/2021 06:00:00,0.0019
10/07/2021 07:00:00,0.0019
10/07/2021 08:00:00,0.0019
10/07/2021 09:00:00,0.0019
10/07/2021 10:00:00,0.0019
10/07/2021 11:00:00,0.0019
10/07/2021 12:00:00,0.0019
10/07/2021 13:00:00,0.0019
10/07/2021 14:00:00,0.0019
10/07/2021 15:00:00,0.0019
10/07/2021 16:00:00,0.0019
10/07/2021 17:00:00,0.0019
10/07/2021 18:00:00,0.0019
10/07/2021 19:00:00,0.0019
10/07/2021 20:00:00,0.0019
10/07/2021 21:00:00,0.0019
10/07/2021 22:00:00,0.0019
10/07/2021 23:00:00,0.0019
10/08/2021 00:00:00,0.0019
10/08/2021 01:00:00,0.0019
10/08/2021 02:00:00,0.0019
10/08/2021 03:00:00,0.0019
10/08/2021 04:00:00,0.0019
10/08/2021 05:00:00,0.0019
10/08/2021 06:00:00,0.0019
10/08/2021 07:00:00,0.0019
10/08/2021 08:00:00,0.0848
10/08/2021 09:00:00,0.3470
10/08/2021 10:00:00,0.1265
10/08/2021 11:00:00,0.1186
10/08/2021 12:00:00,0.0627
10/08/2021 13:00:00,0.0021
10/08/2021 14:00:00,0.0021
10/08/2021 15:00:00,0.0021
10/08/2021 16:00:00,0.0021
10/08/2021 17:00:00,0.0021
10/08/2021 18:00:00,0.0021
10/08/2021 19:00:00,0.0023
10/08/2021 20:00:00,0.1051
10/08/2021 21:00:00,0.0505
10/08/2021 22:00:00,0.0028
10/08/2021 23:00:00,0.0028
10/09/2021 00:00:00,0.0028
10/09/2021 01:00:00,0.0028
10/09/2021 02:00:00,0.0028
10/09/2021 03:00:00,0.0028
10/09/2021 04:00:00,0.0028
10/09/2021 05:00:00,0.0028
10/09/2021 06:00:00,0.0028
10/09/2021 07:00:00,0.0028
10/09/2021 08:00:00,0.0028
10/09/2021 09:00:00,0.0028
10/09/2021 10:00:00,0.0029
10/09/2021 11:00:00,0.1140
10/09/2021 12:00:00,0.1069
10/09/2021 13:00:00,0.1158
10/09/2021 14:00:00,0.1074
10/09/2021 15:00:00,0.0941
