ts,cpu_load,cpu_freq,memory_usage,cpu_temp,gpu_memory_usage,gpu_load,gpu_temp,hashrate,unpaid
11/10/2021 12:18:40,12.5,858.94,1306034176,31.0,9.0,0.0,33.0,,
11/10/2021 12:18:51,0.7,932.66,1270915072,29.0,9.0,0.0,33.0,,
11/10/2021 12:19:01,0.7,808.08,1270640640,29.0,9.0,0.0,33.0,,
11/10/2021 12:19:12,0.6,842.57,1270030336,30.0,9.0,0.0,32.0,,
11/10/2021 12:19:22,0.7,859.9,1270177792,29.0,9.0,0.0,33.0,,
11/10/2021 12:19:32,0.6,843.29,1270407168,30.0,9.0,0.0,33.0,,
11/10/2021 12:19:42,0.7,866.46,1270362112,31.0,9.0,0.0,32.0,,
11/10/2021 12:19:53,0.6,841.74,1270980608,30.0,9.0,0.0,32.0,,
11/10/2021 12:20:03,0.6,830.15,1271234560,30.0,9.0,0.0,32.0,,
11/10/2021 12:20:14,0.5,814.34,1270681600,30.0,9.0,0.0,32.0,,
11/10/2021 12:20:24,0.7,861.86,1270386688,29.0,9.0,0.0,32.0,,
11/10/2021 12:20:34,0.5,836.45,1270632448,30.0,9.0,0.0,32.0,,
11/10/2021 12:20:45,0.7,877.81,1270669312,30.0,9.0,0.0,32.0,,
11/10/2021 12:20:55,0.6,842.53,1270980608,30.0,9.0,0.0,32.0,,
11/10/2021 12:21:05,0.7,835.8,1270726656,29.0,9.0,0.0,32.0,,
11/10/2021 12:21:16,0.6,857.1,1270947840,29.0,9.0,0.0,32.0,,
11/10/2021 12:21:26,0.7,859.92,1270800384,29.0,9.0,0.0,32.0,,
11/10/2021 12:21:36,0.7,846.59,1270636544,30.0,9.0,0.0,32.0,,
11/10/2021 12:21:47,0.7,846.04,1270857728,30.0,9.0,0.0,32.0,,
11/10/2021 12:21:57,0.6,862.89,1271103488,30.0,9.0,0.0,32.0,,
11/10/2021 12:22:07,0.7,887.75,1271549952,30.0,9.0,0.0,32.0,,
11/10/2021 12:22:18,0.6,885.17,1271836672,31.0,9.0,0.0,32.0,,
11/10/2021 12:22:28,0.6,815.5,1271607296,29.0,9.0,0.0,32.0,,
11/10/2021 12:22:38,0.6,845.4,1271279616,29.0,9.0,0.0,32.0,,
11/10/2021 12:22:49,0.7,2425.96,1271058432,29.0,9.0,0.0,32.0,,
11/10/2021 12:22:59,0.6,842.41,1270747136,29.0,9.0,0.0,32.0,,
11/10/2021 12:23:09,0.7,1197.58,1270525952,29.0,9.0,0.0,32.0,,
11/10/2021 12:23:20,0.6,840.58,1270652928,30.0,9.0,0.0,32.0,,
11/10/2021 12:23:30,0.6,938.74,1270300672,29.0,9.0,0.0,32.0,,
11/10/2021 12:23:40,0.5,841.46,1270161408,29.0,9.0,0.0,32.0,,
11/10/2021 12:23:51,0.4,944.62,1270267904,29.0,9.0,0.0,32.0,,
11/10/2021 12:24:01,0.3,2554.07,1269620736,29.0,9.0,0.0,32.0,,
11/10/2021 12:24:12,0.4,1297.53,1270034432,29.0,9.0,0.0,32.0,,
11/10/2021 12:24:22,0.2,806.96,1269821440,30.0,9.0,0.0,32.0,,
11/10/2021 12:24:32,0.3,809.52,1270034432,29.0,9.0,0.0,32.0,,
11/10/2021 12:24:43,0.1,808.4,1268473856,28.0,9.0,0.0,32.0,,
