ts,cpu_load,cpu_freq,memory_usage,cpu_temp,gpu_memory_usage,gpu_load,gpu_temp,hashrate,unpaid
11/11/2021 08:40:46,12.5,875.35,1361072128,28.0,9.0,0.0,33.0,2222222.22,0
11/11/2021 08:40:57,0.2,1126.39,1362071552,27.0,9.0,0.0,33.0,2222222.22,0
11/11/2021 08:41:07,0.2,813.76,1362223104,27.0,9.0,0.0,33.0,2222222.22,0
11/11/2021 08:41:18,0.1,844.8,1362845696,28.0,9.0,0.0,33.0,2222222.22,0
11/11/2021 08:41:28,0.2,892.35,1361985536,27.0,9.0,0.0,33.0,2222222.22,0
11/11/2021 08:41:38,0.1,816.02,1361108992,28.0,9.0,0.0,32.0,2222222.22,0
11/11/2021 08:41:49,0.3,996.34,1360977920,28.0,9.0,0.0,32.0,2222222.22,0
11/11/2021 08:41:59,0.1,834.96,1360003072,28.0,9.0,0.0,32.0,2222222.22,0
11/11/2021 08:42:10,0.2,3593.97,1360556032,27.0,9.0,0.0,32.0,2222222.22,0
11/11/2021 08:42:20,0.1,849.03,1360936960,27.0,9.0,0.0,32.0,2222222.22,0
11/11/2021 08:42:30,0.2,823.8,1360740352,27.0,9.0,0.0,32.0,2222222.22,0
11/11/2021 08:42:41,0.1,808.91,1361252352,27.0,9.0,0.0,32.0,2222222.22,0
11/11/2021 08:42:51,0.2,1098.13,1360740352,27.0,9.0,0.0,32.0,2222222.22,0
11/11/2021 08:43:02,0.1,1098.01,1360859136,28.0,9.0,0.0,32.0,2222222.22,0
11/11/2021 08:43:12,0.5,889.32,1361248256,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:43:23,0.2,879.08,1360269312,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:43:33,0.2,820.34,1360158720,28.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:43:43,0.1,929.06,1360281600,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:43:54,0.2,837.7,1360924672,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:44:04,0.1,830.12,1361219584,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:44:15,0.2,927.49,1361956864,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:44:25,0.1,852.4,1361252352,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:44:36,0.2,879.1,1361715200,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:44:46,0.1,830.61,1359704064,28.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:44:57,0.2,848.43,1360924672,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:45:07,0.1,859.64,1361260544,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:45:18,0.2,819.76,1361100800,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:45:28,0.1,832.04,1361203200,28.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:45:38,0.2,820.74,1362374656,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:45:49,0.2,829.7,1362718720,27.0,9.0,0.0,31.0,2222222.22,0
11/11/2021 08:45:59,0.2,843.46,1362341888,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:46:10,0.1,1511.81,1362702336,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:46:20,0.2,853.66,1361584128,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:46:30,0.1,850.67,1361653760,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:46:41,0.2,806.09,1362067456,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:46:51,0.1,852.48,1361362944,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:47:02,0.2,809.24,1361264640,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:47:12,0.1,816.46,1360662528,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:47:23,0.2,862.33,1359486976,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:47:33,0.1,816.34,1358897152,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:47:43,0.2,911.69,1359745024,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:47:54,0.1,825.68,1359929344,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:48:04,0.2,830.64,1360777216,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:48:15,0.1,837.66,1360678912,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:48:25,0.3,911.6,1361588224,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:48:35,0.4,899.99,1362264064,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:48:46,0.7,820.38,1362137088,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:48:56,0.6,896.48,1360965632,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:49:07,0.6,879.14,1362087936,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:49:17,0.6,845.27,1360699392,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:49:27,0.4,821.35,1362112512,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:49:38,0.1,897.71,1361981440,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:49:48,0.2,837.54,1362104320,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:49:59,0.1,834.44,1361723392,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:50:09,0.2,846.13,1361104896,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:50:19,0.1,855.02,1360723968,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:50:30,0.2,818.91,1363427328,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:50:40,0.1,857.19,1362014208,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:50:51,0.2,820.06,1362653184,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:51:01,0.1,823.62,1362878464,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:51:12,0.2,830.19,1362935808,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:51:22,0.1,839.52,1362288640,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:51:33,0.2,848.85,1362919424,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:51:43,0.2,819.74,1361514496,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:51:53,0.2,949.82,1361629184,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:52:04,0.1,827.79,1361354752,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:52:14,0.2,858.21,1361920000,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:52:25,0.1,868.82,1360773120,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:52:35,0.2,824.79,1360887808,26.0,9.0,0.0,29.0,2222222.22,0
11/11/2021 08:52:45,0.1,858.56,1361547264,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:52:56,0.2,822.56,1362944000,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:53:06,0.1,857.75,1362669568,26.0,9.0,0.0,29.0,2222222.22,0
11/11/2021 08:53:17,0.3,815.29,1362460672,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:53:27,0.1,828.96,1360789504,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:53:38,0.2,939.88,1360637952,26.0,9.0,0.0,29.0,2222222.22,0
11/11/2021 08:53:48,0.1,891.64,1361305600,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:53:59,0.2,863.11,1361186816,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:54:09,0.1,832.77,1361080320,27.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:54:19,0.2,929.42,1361186816,26.0,9.0,0.0,29.0,2222222.22,0
11/11/2021 08:54:30,0.1,819.33,1361338368,27.0,9.0,0.0,29.0,2222222.22,0
11/11/2021 08:54:40,0.2,941.7,1362210816,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:54:51,0.1,940.54,1362104320,26.0,9.0,0.0,29.0,2222222.22,0
11/11/2021 08:55:01,0.2,958.39,1363038208,27.0,9.0,0.0,29.0,2222222.22,0
11/11/2021 08:55:11,0.1,837.87,1362915328,27.0,9.0,0.0,29.0,2222222.22,0
11/11/2021 08:55:22,0.2,1197.91,1363017728,26.0,9.0,0.0,30.0,2222222.22,0
11/11/2021 08:55:32,0.1,831.29,1362399232,26.0,9.0,0.0,29.0,2222222.22,0
