ts,cpu_load,cpu_freq,memory_usage,cpu_temp,gpu_memory_usage,gpu_load,gpu_temp,hashrate,unpaid
10/28/2021 22:27:23,12.5,1113.62,2305609728,35.0,4043.0,1.0,71.0,,
10/28/2021 22:27:34,0.8,962.6,2308694016,32.0,4043.0,1.0,70.0,,
10/28/2021 22:27:44,0.9,850.18,2308005888,32.0,4043.0,1.0,70.0,,
10/28/2021 22:27:54,0.8,934.26,2309021696,33.0,4043.0,1.0,71.0,,
10/28/2021 22:28:05,0.7,935.68,2309054464,33.0,4043.0,1.0,70.0,,
10/28/2021 22:28:15,0.7,935.0,2309087232,33.0,4043.0,1.0,70.0,,
10/28/2021 22:28:26,0.8,965.62,2309947392,34.0,4043.0,1.0,71.0,,
10/28/2021 22:28:36,0.7,1213.73,2309881856,33.0,4043.0,1.0,71.0,,
10/28/2021 22:28:46,0.9,901.99,2310909952,34.0,4043.0,1.0,71.0,,
10/28/2021 22:28:57,0.6,1186.35,2310447104,34.0,4043.0,1.0,71.0,,
10/28/2021 22:29:07,0.8,958.66,2309804032,34.0,4043.0,1.0,71.0,,
10/28/2021 22:29:17,0.7,1008.1,2308173824,33.0,4043.0,1.0,71.0,,
10/28/2021 22:29:28,0.7,1017.68,2308960256,33.0,4043.0,1.0,70.0,,
10/28/2021 22:29:38,0.6,978.06,2309488640,33.0,4043.0,1.0,70.0,,
10/28/2021 22:29:48,0.8,985.73,2309255168,32.0,4043.0,1.0,71.0,,
10/28/2021 22:29:59,0.6,880.0,2309943296,33.0,4043.0,1.0,71.0,,
10/28/2021 22:30:09,0.8,930.33,2310340608,34.0,4043.0,1.0,71.0,,
10/28/2021 22:30:19,0.6,1472.72,2310311936,34.0,4043.0,1.0,70.0,,
10/28/2021 22:30:30,0.7,960.53,2310279168,34.0,4043.0,1.0,71.0,,
10/28/2021 22:30:40,0.6,1115.74,2309910528,33.0,4043.0,1.0,70.0,,
10/28/2021 22:30:50,0.8,1398.49,2310029312,33.0,4043.0,1.0,71.0,,
10/28/2021 22:31:01,0.7,1004.08,2309963776,33.0,4043.0,1.0,71.0,,
10/28/2021 22:31:11,0.9,1396.64,2310991872,33.0,4043.0,1.0,70.0,,
10/28/2021 22:31:22,0.7,892.36,2309058560,33.0,4043.0,1.0,70.0,,
10/28/2021 22:31:32,0.7,951.97,2309582848,33.0,4043.0,1.0,71.0,,
10/28/2021 22:31:43,0.8,992.11,2310115328,33.0,4043.0,1.0,71.0,,
10/28/2021 22:31:53,0.6,1407.28,2310348800,33.0,4043.0,1.0,70.0,,
10/28/2021 22:32:03,0.9,887.68,2309513216,34.0,4043.0,1.0,70.0,,
10/28/2021 22:32:14,0.7,899.02,2309214208,34.0,4043.0,1.0,71.0,,
10/28/2021 22:32:24,0.8,919.01,2309861376,32.0,4043.0,1.0,71.0,,
10/28/2021 22:32:34,0.6,1149.3,2310184960,33.0,4043.0,1.0,71.0,,
10/28/2021 22:32:45,0.7,941.9,2309619712,33.0,4043.0,1.0,71.0,,
10/28/2021 22:32:55,0.7,1056.46,2308796416,33.0,4043.0,1.0,71.0,,
10/28/2021 22:33:06,0.7,899.1,2308747264,32.0,4043.0,1.0,71.0,,
10/28/2021 22:33:16,0.9,1925.38,2309361664,33.0,4043.0,1.0,71.0,,
10/28/2021 22:33:26,0.6,851.4,2310152192,33.0,4043.0,1.0,71.0,,
10/28/2021 22:33:36,0.6,1116.13,2310086656,34.0,4043.0,1.0,70.0,,
10/28/2021 22:33:47,0.8,1397.27,2309279744,34.0,4043.0,1.0,71.0,,
10/28/2021 22:33:57,0.6,941.25,2309279744,33.0,4043.0,1.0,71.0,,
10/28/2021 22:34:08,0.7,875.91,2308141056,33.0,4043.0,1.0,71.0,,
10/28/2021 22:34:18,0.7,852.94,2308493312,32.0,4043.0,1.0,71.0,,
10/28/2021 22:34:28,0.7,1120.2,2309255168,33.0,4043.0,1.0,71.0,,
10/28/2021 22:34:38,0.7,1288.35,2309455872,33.0,4043.0,1.0,71.0,,
10/28/2021 22:34:49,0.8,927.62,2310160384,33.0,4043.0,1.0,71.0,,
10/28/2021 22:34:59,0.6,1109.01,2309828608,32.0,4043.0,1.0,71.0,,
10/28/2021 22:35:10,0.8,868.17,2311176192,32.0,4043.0,1.0,71.0,,
10/28/2021 22:35:20,1.0,1017.31,2312052736,34.0,4043.0,1.0,70.0,,
10/28/2021 22:35:30,0.7,876.81,2311745536,32.0,4043.0,1.0,71.0,,
10/28/2021 22:35:41,0.6,978.24,2310238208,33.0,4043.0,1.0,71.0,,
10/28/2021 22:35:51,0.8,1063.27,2311024640,33.0,4043.0,1.0,71.0,,
10/28/2021 22:36:01,0.6,938.64,2310275072,32.0,4043.0,1.0,71.0,,
10/28/2021 22:36:12,0.7,1169.34,2310008832,32.0,4043.0,1.0,71.0,,
10/28/2021 22:36:22,0.6,1339.61,2309996544,33.0,4043.0,1.0,71.0,,
10/28/2021 22:36:32,0.8,1295.61,2309840896,33.0,4043.0,1.0,71.0,,
10/28/2021 22:36:43,0.7,938.24,2309550080,33.0,4043.0,1.0,71.0,,
10/28/2021 22:36:53,0.8,886.8,2310803456,33.0,4043.0,1.0,71.0,,
10/28/2021 22:37:04,0.6,894.7,2311344128,33.0,4043.0,1.0,71.0,,
10/28/2021 22:37:14,0.8,908.87,2311184384,33.0,4043.0,1.0,71.0,,
10/28/2021 22:37:24,0.8,890.75,2309476352,34.0,4043.0,1.0,70.0,,
10/28/2021 22:37:35,0.7,906.47,2310307840,33.0,4043.0,1.0,71.0,,
10/28/2021 22:37:45,0.7,972.44,2309500928,32.0,4043.0,1.0,71.0,,
10/28/2021 22:37:56,0.9,1419.14,2309148672,33.0,4043.0,1.0,71.0,,
10/28/2021 22:38:06,0.7,893.91,2308567040,33.0,4043.0,1.0,71.0,,
10/28/2021 22:38:16,0.8,1061.75,2310696960,33.0,4043.0,1.0,71.0,,
10/28/2021 22:38:26,0.7,2095.83,2309865472,34.0,4043.0,1.0,70.0,,
10/28/2021 22:38:37,0.7,995.8,2308628480,33.0,4043.0,1.0,71.0,,
10/28/2021 22:38:47,0.8,1115.09,2310234112,34.0,4043.0,1.0,71.0,,
10/28/2021 22:38:58,0.7,1003.11,2310713344,33.0,4043.0,1.0,71.0,,
10/28/2021 22:39:08,0.7,934.92,2310905856,33.0,4043.0,1.0,70.0,,
10/28/2021 22:39:18,0.9,927.3,2311729152,33.0,4043.0,1.0,70.0,,
10/28/2021 22:39:28,0.6,1197.69,2310668288,33.0,4043.0,1.0,70.0,,
10/28/2021 22:39:39,0.8,841.68,2310221824,33.0,4043.0,1.0,70.0,,
10/28/2021 22:39:49,0.8,1401.14,2310184960,32.0,4043.0,1.0,70.0,,
10/28/2021 22:40:00,0.7,910.21,2310148096,33.0,4043.0,1.0,70.0,,
10/28/2021 22:40:10,0.7,1068.99,2312450048,32.0,4043.0,1.0,70.0,,
10/28/2021 22:40:20,0.8,909.22,2312171520,32.0,4043.0,1.0,70.0,,
10/28/2021 22:40:31,0.6,1062.25,2311589888,33.0,4043.0,1.0,71.0,,
10/28/2021 22:40:41,0.8,1097.76,2310766592,33.0,4043.0,1.0,70.0,,
10/28/2021 22:40:51,0.6,1061.9,2312122368,33.0,4043.0,1.0,71.0,,
10/28/2021 22:41:02,0.7,886.57,2312818688,33.0,4043.0,1.0,71.0,,
10/28/2021 22:41:12,0.6,972.34,2312790016,33.0,4043.0,1.0,70.0,,
10/28/2021 22:41:22,0.8,995.55,2310615040,34.0,4043.0,1.0,71.0,,
10/28/2021 22:41:33,0.7,1076.73,2311413760,33.0,4043.0,1.0,70.0,,
10/28/2021 22:41:43,1.1,1215.1,2311921664,33.0,4043.0,1.0,70.0,,
