ts,cpu_load,cpu_freq,memory_usage,cpu_temp,gpu_memory_usage,gpu_load,gpu_temp,hashrate,unpaid
11/05/2021 13:40:17,2.0,1175.23,1260552192,29.0,8.0,0.0,30.0,,
11/05/2021 13:40:27,0.4,836.98,1262751744,29.0,8.0,0.0,30.0,,
11/05/2021 13:40:38,0.2,1465.36,1261010944,28.0,8.0,0.0,30.0,,
11/05/2021 13:40:48,1.7,848.19,1260642304,28.0,8.0,0.0,30.0,,
11/05/2021 13:40:58,0.2,878.84,1261248512,28.0,8.0,0.0,30.0,,
11/05/2021 13:41:09,0.1,860.37,1261498368,28.0,8.0,0.0,30.0,,
11/05/2021 13:41:19,0.3,874.95,1261760512,28.0,8.0,0.0,31.0,,
11/05/2021 13:41:30,0.1,816.61,1261441024,29.0,8.0,0.0,30.0,,
11/05/2021 13:41:40,0.2,799.11,1261989888,28.0,8.0,0.0,30.0,,
11/05/2021 13:41:50,0.1,816.36,1262264320,29.0,8.0,0.0,30.0,,
11/05/2021 13:42:01,0.2,887.82,1262272512,28.0,8.0,0.0,30.0,,
11/05/2021 13:42:11,0.1,856.5,1262002176,29.0,8.0,0.0,30.0,,
11/05/2021 13:42:21,0.2,834.01,1262260224,28.0,8.0,0.0,30.0,,
11/05/2021 13:42:32,0.1,852.66,1261498368,28.0,8.0,0.0,30.0,,
11/05/2021 13:42:42,0.2,835.68,1241329664,28.0,8.0,0.0,30.0,,
11/05/2021 13:42:53,0.1,845.42,1241583616,28.0,8.0,0.0,30.0,,
11/05/2021 13:43:03,0.2,862.17,1241071616,28.0,8.0,0.0,30.0,,
11/05/2021 13:43:13,0.1,838.24,1241358336,28.0,8.0,0.0,31.0,,
11/05/2021 13:43:24,0.2,866.1,1241829376,28.0,8.0,0.0,31.0,,
11/05/2021 13:43:34,0.1,917.28,1241309184,27.0,8.0,0.0,30.0,,
11/05/2021 13:43:45,0.2,921.51,1241055232,27.0,8.0,0.0,31.0,,
11/05/2021 13:43:55,0.1,931.84,1241284608,28.0,8.0,0.0,30.0,,
11/05/2021 13:44:05,0.2,846.12,1242095616,29.0,8.0,0.0,31.0,,
11/05/2021 13:44:16,0.1,837.94,1241833472,28.0,8.0,0.0,30.0,,
11/05/2021 13:44:26,0.2,834.56,1241579520,28.0,8.0,0.0,31.0,,
11/05/2021 13:44:36,0.1,899.16,1241575424,28.0,8.0,0.0,31.0,,
11/05/2021 13:44:47,0.3,834.46,1242095616,27.0,8.0,0.0,30.0,,
11/05/2021 13:44:57,0.2,816.6,1240924160,28.0,8.0,0.0,30.0,,
11/05/2021 13:45:07,0.6,886.78,1242161152,28.0,8.0,0.0,30.0,,
11/05/2021 13:45:18,0.8,872.23,1238740992,28.0,8.0,0.0,30.0,,
11/05/2021 13:45:28,0.4,844.86,1239588864,28.0,8.0,0.0,31.0,,
11/05/2021 13:45:39,0.1,866.41,1239425024,29.0,8.0,0.0,31.0,,
11/05/2021 13:45:49,0.2,973.26,1240096768,28.0,8.0,0.0,30.0,,
11/05/2021 13:45:59,0.1,906.31,1239887872,28.0,8.0,0.0,30.0,,
11/05/2021 13:46:10,0.2,912.06,1239834624,28.0,8.0,0.0,31.0,,
11/05/2021 13:46:20,0.1,816.38,1240436736,28.0,8.0,0.0,30.0,,
11/05/2021 13:46:30,0.2,1005.97,1240932352,27.0,8.0,0.0,30.0,,
11/05/2021 13:46:41,0.1,859.69,1240502272,29.0,8.0,0.0,30.0,,
11/05/2021 13:46:51,0.2,882.51,1239617536,28.0,8.0,0.0,30.0,,
11/05/2021 13:47:02,0.1,858.41,1238929408,28.0,8.0,0.0,30.0,,
11/05/2021 13:47:12,0.2,1064.98,1239896064,29.0,8.0,0.0,31.0,,
11/05/2021 13:47:22,0.1,817.11,1239724032,29.0,8.0,0.0,30.0,,
11/05/2021 13:47:33,0.2,916.41,1239629824,29.0,8.0,0.0,31.0,,
11/05/2021 13:47:43,0.2,829.0,1239441408,29.0,8.0,0.0,31.0,,
11/05/2021 13:47:54,0.2,886.41,1239339008,29.0,8.0,0.0,31.0,,
11/05/2021 13:48:04,0.1,844.01,1240211456,28.0,8.0,0.0,31.0,,
11/05/2021 13:48:14,0.2,847.67,1239883776,29.0,8.0,0.0,30.0,,
11/05/2021 13:48:24,0.1,816.52,1239470080,28.0,8.0,0.0,31.0,,
11/05/2021 13:48:35,0.2,859.96,1239367680,28.0,8.0,0.0,30.0,,
11/05/2021 13:48:45,0.1,824.38,1239220224,28.0,8.0,0.0,30.0,,
11/05/2021 13:48:56,0.2,817.9,1239109632,27.0,8.0,0.0,30.0,,
11/05/2021 13:49:06,0.1,801.35,1238728704,28.0,8.0,0.0,31.0,,
11/05/2021 13:49:16,0.2,952.8,1239142400,28.0,8.0,0.0,31.0,,
11/05/2021 13:49:27,0.1,830.67,1238818816,27.0,8.0,0.0,30.0,,
11/05/2021 13:49:37,0.2,1729.27,1238884352,28.0,8.0,0.0,31.0,,
11/05/2021 13:49:48,0.2,837.59,1238294528,28.0,8.0,0.0,31.0,,
11/05/2021 13:49:58,0.2,827.12,1238142976,28.0,8.0,0.0,31.0,,
11/05/2021 13:50:08,0.1,831.52,1239347200,29.0,8.0,0.0,31.0,,
11/05/2021 13:50:19,0.2,843.77,1239396352,28.0,8.0,0.0,31.0,,
11/05/2021 13:50:29,0.1,812.77,1239064576,29.0,8.0,0.0,31.0,,
11/05/2021 13:50:39,0.2,825.41,1240170496,28.0,8.0,0.0,31.0,,
11/05/2021 13:50:50,0.1,814.68,1240338432,28.0,8.0,0.0,31.0,,
11/05/2021 13:51:00,0.2,861.46,1239687168,29.0,8.0,0.0,31.0,,
11/05/2021 13:51:11,0.1,840.36,1240072192,28.0,8.0,0.0,31.0,,
11/05/2021 13:51:21,0.2,909.7,1239429120,28.0,8.0,0.0,30.0,,
11/05/2021 13:51:31,0.1,813.06,1237491712,29.0,8.0,0.0,31.0,,
11/05/2021 13:51:42,0.2,834.78,1239719936,29.0,8.0,0.0,31.0,,
11/05/2021 13:51:52,0.3,832.59,1239879680,29.0,8.0,0.0,31.0,,
11/05/2021 13:52:03,0.7,898.5,1239752704,29.0,8.0,0.0,31.0,,
11/05/2021 13:52:13,0.2,808.85,1239621632,27.0,8.0,0.0,31.0,,
11/05/2021 13:52:23,0.2,834.86,1239494656,28.0,8.0,0.0,31.0,,
11/05/2021 13:52:34,0.1,838.86,1238073344,28.0,8.0,0.0,31.0,,
11/05/2021 13:52:44,0.3,905.79,1237688320,28.0,8.0,0.0,31.0,,
11/05/2021 13:52:55,0.1,826.86,1238855680,29.0,8.0,0.0,31.0,,
11/05/2021 13:53:05,0.1,837.34,1240268800,28.0,8.0,0.0,31.0,,
11/05/2021 13:53:15,0.1,846.87,1240403968,28.0,8.0,0.0,31.0,,
11/05/2021 13:53:26,0.2,878.39,1239752704,28.0,8.0,0.0,31.0,,
11/05/2021 13:53:36,0.1,816.1,1239887872,28.0,8.0,0.0,31.0,,
11/05/2021 13:53:46,0.2,1012.06,1239527424,28.0,8.0,0.0,31.0,,
11/05/2021 13:53:57,0.1,897.47,1237848064,28.0,8.0,0.0,31.0,,
11/05/2021 13:54:07,0.2,837.19,1237979136,28.0,8.0,0.0,31.0,,
11/05/2021 13:54:18,0.1,832.46,1237340160,28.0,8.0,0.0,31.0,,
